s_m,posE_m,posN_m,posU_m
0.0,-661.3241407406898,-129.1541770046811,6.923927738145254
0.18668644979421997,-661.357609817972,-128.97053081557308,6.926321193545525
0.3795478714663084,-661.3911828652407,-128.78063062078323,6.928830074820266
0.5785748843777607,-661.424854737061,-128.584490177021,6.931453667267485
0.7837576897474313,-661.4586202879977,-128.3821232409958,6.93419125618519
0.9950861211163528,-661.492474372616,-128.1735435694172,6.937042126871387
1.2125496875018973,-661.5264118454808,-127.95876491899459,6.9400055646240855
1.436137610471159,-661.5604275611569,-127.73780104643745,6.943080854741294
1.665838856130874,-661.5945163742094,-127.51066570845524,6.946267282521019
1.9016421628447637,-661.6286731392033,-127.27737266175741,6.949564133261267
2.1435360653438713,-661.6628927107037,-127.03793566305343,6.952970692260049
2.3915089157768996,-661.6971699432752,-126.79236846905279,6.9564862448153715
2.645548902154518,-661.7314996914831,-126.5406848364649,6.9601100762252415
2.9056440645638553,-661.7658768098923,-126.28289852199927,6.963841471787667
3.1717823094691635,-661.8002961530677,-126.01902328236532,6.9676797168006575
3.4439514223624386,-661.8347525755744,-125.74907287427256,6.971624096562219
3.7221390789872957,-661.8692409319773,-125.47306105443042,6.975673896370359
4.006332855324486,-661.9037560768413,-125.19100157954836,6.979828401523087
4.296520236499435,-661.9382928647316,-124.90290820633585,6.984086897318409
4.592688624748301,-661.9728461502128,-124.60879469150237,6.9884486690543355
4.894825346559592,-662.0074107878503,-124.30867479175735,6.992913002028872
5.202917659091309,-662.0419816322088,-124.00256226381028,6.997479181540026
5.516952755950416,-662.0765535378533,-123.6904708643706,7.0021464928858075
5.836917772409029,-662.111121359349,-123.37241435014779,7.006914221364222
6.162799790121971,-662.1456799512605,-123.0484064778513,7.011781652273279
6.494585841403022,-662.180224168141,-122.7184610041883,7.016748070910852
6.841951977069316,-662.2167566858893,-122.37306050200472,7.021953879784739
7.191293576720101,-662.252675407138,-122.02561008534718,7.027208085236968
7.5415383667347,-662.287747150761,-121.67716512395185,7.032451615519076
7.894418433008909,-662.322266252757,-121.32601769584052,7.037767300035312
8.252601738001323,-662.3565417451364,-120.96951893476093,7.0431621073678565
8.61671993489013,-662.3906159495612,-120.60704023870602,7.048657997169292
8.98738558432385,-662.4244287015699,-120.23796270856394,7.0542703243103135
9.364611000845851,-662.458020053693,-119.8622794725407,7.059992395950384
9.74832372299985,-662.4913368493291,-119.48006051722147,7.065833154980544
10.13843590045801,-662.5243173144733,-119.09139047061419,7.071782507071987
10.534749850230808,-662.5568475819387,-118.69646060846176,7.07785971559348
10.936883988856236,-662.591497497009,-118.29586839424249,7.08395288722536
11.34515009652685,-662.6259214168731,-117.88910259812529,7.090100693569369
11.76031341902249,-662.6602132939095,-117.4754051105848,7.096348918727514
12.18231567588212,-662.6942649394193,-117.05482729254837,7.102727728052366
12.61100661607003,-662.7280989823396,-116.62752307891888,7.109230708396312
13.04621310779458,-662.7615963075572,-116.19365796781413,7.115840171954006
13.487686552122344,-662.794701888869,-115.75347894123578,7.122566767910632
13.9351183645942,-662.8273830094633,-115.3072944144798,7.129388736254427
14.388190968204785,-662.8595937449669,-114.85542143745404,7.13632165012048
14.84652086843956,-662.8913616356921,-114.39824737098223,7.143319615090597
15.309700762780016,-662.922519604516,-113.93617059344342,7.150379867164981
15.778256715235647,-662.9555625406185,-113.46883401110908,7.157405802503677
16.249322548353256,-662.988254296639,-112.99895748633838,7.164499439687808
16.72478767899482,-663.0207453597513,-112.52465697371858,7.171601904218817
17.204610621914334,-663.0529548572214,-112.04596942464704,7.178731784200721
